job_id,workload_name,profile,submission_time,requested_number_of_resources,requested_time,success,final_state,starting_time,execution_time,finish_time,waiting_time,turnaround_time,stretch,allocated_resources,consumed_energy,metadata
job_63,w0,profile_63,37533.000000,18,4735.000000,1,COMPLETED_SUCCESSFULLY,37533.000000,296.881990,37829.881990,0.000000,296.881990,1.000000,79-96,1388453.450066,""
job_66,w0,profile_66,37582.000000,22,24654.000000,1,COMPLETED_SUCCESSFULLY,37582.000000,372.532418,37954.532418,0.000000,372.532418,1.000000,29-50,2129421.908067,""
job_68,w0,profile_68,37909.000000,6,6063.000000,1,COMPLETED_SUCCESSFULLY,37909.000000,71.594827,37980.594827,0.000000,71.594827,1.000000,23-28,111611.221493,""
job_71,w0,profile_71,38140.000000,6,3239.000000,1,COMPLETED_SUCCESSFULLY,38140.000000,35.576358,38175.576358,0.000000,35.576358,1.000000,34-39,55461.000732,""
job_69,w0,profile_69,38140.000000,13,313.000000,1,COMPLETED_SUCCESSFULLY,38140.000000,138.059702,38278.059702,0.000000,138.059702,1.000000,40-52,466321.296784,""
job_70,w0,profile_70,38140.000000,53,29640.000000,1,COMPLETED_SUCCESSFULLY,38140.000000,309.383646,38449.383646,0.000000,309.383646,1.000000,438-490,4260378.542550,""
job_67,w0,profile_67,37909.000000,44,27133.000000,1,COMPLETED_SUCCESSFULLY,37909.000000,773.893074,38682.893074,0.000000,773.893074,1.000000,53-96,8847256.176782,""
job_73,w0,profile_73,38637.000000,11,1803.000000,1,COMPLETED_SUCCESSFULLY,38637.000000,86.232013,38723.232013,0.000000,86.232013,1.000000,16-26,246454.173671,""
job_72,w0,profile_72,38317.000000,26,19457.000000,1,COMPLETED_SUCCESSFULLY,38317.000000,419.605658,38736.605658,0.000000,419.605658,1.000000,27-52,2834586.079802,""
job_78,w0,profile_78,38965.000000,2,3620.000000,1,COMPLETED_SUCCESSFULLY,38965.000000,37.520463,39002.520463,0.000000,37.520463,1.000000,8-9,19497.240706,""
job_77,w0,profile_77,38819.000000,12,3041.000000,1,COMPLETED_SUCCESSFULLY,38819.000000,183.898313,39002.898313,0.000000,183.898313,1.000000,438-449,573368.667358,""
job_74,w0,profile_74,38718.000000,19,5019.000000,1,COMPLETED_SUCCESSFULLY,38718.000000,294.887384,39012.887384,0.000000,294.887384,1.000000,53-71,1455743.168618,""
job_76,w0,profile_76,38819.000000,19,1464.000000,1,COMPLETED_SUCCESSFULLY,38819.000000,272.953812,39091.953812,0.000000,272.953812,1.000000,72-90,1347465.737472,""
job_75,w0,profile_75,38819.000000,43,11532.000000,1,COMPLETED_SUCCESSFULLY,38819.000000,345.323686,39164.323686,0.000000,345.323686,1.000000,10-52,3858067.220673,""
job_79,w0,profile_79,39169.000000,3,345.000000,1,COMPLETED_SUCCESSFULLY,39169.000000,32.249124,39201.249124,0.000000,32.249124,1.000000,94-96,25137.040663,""
job_80,w0,profile_80,39350.000000,10,452.000000,1,COMPLETED_SUCCESSFULLY,39350.000000,86.459126,39436.459126,0.000000,86.459126,1.000000,87-96,224639.335395,""
job_81,w0,profile_81,39441.000000,25,17621.000000,1,COMPLETED_SUCCESSFULLY,39441.000000,166.257854,39607.257854,0.000000,166.257854,1.000000,72-96,1079933.831162,""
job_82,w0,profile_82,39479.000000,16,2602.000000,1,COMPLETED_SUCCESSFULLY,39479.000000,157.215275,39636.215275,0.000000,157.215275,1.000000,56-71,653566.357050,""
job_84,w0,profile_84,39541.000000,12,1568.000000,1,COMPLETED_SUCCESSFULLY,39541.000000,222.834983,39763.834983,0.000000,222.834983,1.000000,44-55,694767.643588,""
job_89,w0,profile_89,39847.000000,1,2791.000000,1,COMPLETED_SUCCESSFULLY,39847.000000,15.658454,39862.658454,0.000000,15.658454,1.000000,25,4068.401894,""
job_88,w0,profile_88,39847.000000,10,5894.000000,1,COMPLETED_SUCCESSFULLY,39847.000000,114.482605,39961.482605,0.000000,114.482605,1.000000,26-35,297450.339585,""
job_86,w0,profile_86,39847.000000,24,27894.000000,1,COMPLETED_SUCCESSFULLY,39847.000000,313.652371,40160.652371,0.000000,313.652371,1.000000,73-96,1955846.568076,""
job_90,w0,profile_90,40126.000000,6,5895.000000,1,COMPLETED_SUCCESSFULLY,40126.000000,88.904483,40214.904483,0.000000,88.904483,1.000000,30-35,138595.738288,""
job_91,w0,profile_91,40126.000000,15,2019.000000,1,COMPLETED_SUCCESSFULLY,40126.000000,95.441328,40221.441328,0.000000,95.441328,1.000000,15-29,371965.532519,""
job_62,w0,profile_62,37391.000000,341,73225.000000,1,COMPLETED_SUCCESSFULLY,37391.000000,2907.364281,40298.364281,0.000000,2907.364281,1.000000,97-437,257589879.430484,""
job_85,w0,profile_85,39541.000000,51,33789.000000,1,COMPLETED_SUCCESSFULLY,39541.000000,850.454596,40391.454596,0.000000,850.454596,1.000000,438-488,11269282.726111,""
job_92,w0,profile_92,40126.000000,34,16803.000000,1,COMPLETED_SUCCESSFULLY,40221.441328,206.939398,40428.380726,95.441328,302.380726,1.461204,2-35,1828087.856552,""
job_94,w0,profile_94,40373.000000,5,1511.000000,1,COMPLETED_SUCCESSFULLY,40373.000000,80.945456,40453.945456,0.000000,80.945456,1.000000,73-77,105156.820512,""
job_96,w0,profile_96,40536.000000,2,6345.000000,1,COMPLETED_SUCCESSFULLY,40536.000000,37.947046,40573.947046,0.000000,37.947046,1.000000,34-35,19718.911351,""
job_95,w0,profile_95,40373.000000,14,3208.000000,1,COMPLETED_SUCCESSFULLY,40391.454596,188.272468,40579.727064,18.454596,206.727064,1.098021,457-470,684841.100798,""
job_87,w0,profile_87,39847.000000,37,27159.000000,1,COMPLETED_SUCCESSFULLY,39847.000000,739.463711,40586.463711,0.000000,739.463711,1.000000,36-72,7108755.154097,""
job_93,w0,profile_93,40373.000000,19,314.000000,0,COMPLETED_WALLTIME_REACHED,40391.454596,314.000000,40705.454596,18.454596,332.454596,1.058773,438-456,1550094.642857,""
job_97,w0,profile_97,40536.000000,15,2726.000000,1,COMPLETED_SUCCESSFULLY,40536.000000,185.004407,40721.004407,0.000000,185.004407,1.000000,19-33,721021.638464,""
job_98,w0,profile_98,41640.000000,9,6525.000000,1,COMPLETED_SUCCESSFULLY,41640.000000,80.325538,41720.325538,0.000000,80.325538,1.000000,69-77,187832.663853,""
job_100,w0,profile_100,42277.000000,18,6623.000000,1,COMPLETED_SUCCESSFULLY,42277.000000,127.667669,42404.667669,0.000000,127.667669,1.000000,438-455,597074.329430,""
job_99,w0,profile_99,41640.000000,59,9291.000000,1,COMPLETED_SUCCESSFULLY,41640.000000,814.069059,42454.069059,0.000000,814.069059,1.000000,10-68,12479242.563731,""
job_101,w0,profile_101,42344.000000,7,5888.000000,1,COMPLETED_SUCCESSFULLY,42344.000000,115.142026,42459.142026,0.000000,115.142026,1.000000,3-9,209414.560505,""
job_103,w0,profile_103,43063.000000,16,2812.000000,1,COMPLETED_SUCCESSFULLY,43063.000000,104.377497,43167.377497,0.000000,104.377497,1.000000,22-37,433912.165951,""
job_104,w0,profile_104,43063.000000,13,4438.000000,1,COMPLETED_SUCCESSFULLY,43063.000000,117.414033,43180.414033,0.000000,117.414033,1.000000,9-21,396586.861596,""
job_102,w0,profile_102,42916.000000,40,23269.000000,1,COMPLETED_SUCCESSFULLY,42916.000000,309.052199,43225.052199,0.000000,309.052199,1.000000,38-77,3211935.354330,""
job_105,w0,profile_105,43230.000000,2,935.000000,1,COMPLETED_SUCCESSFULLY,43230.000000,26.201902,43256.201902,0.000000,26.201902,1.000000,76-77,13615.631006,""
job_108,w0,profile_108,44090.000000,3,6073.000000,1,COMPLETED_SUCCESSFULLY,44090.000000,53.755488,44143.755488,0.000000,53.755488,1.000000,38-40,41900.482959,""
job_107,w0,profile_107,44090.000000,5,3780.000000,1,COMPLETED_SUCCESSFULLY,44090.000000,88.544507,44178.544507,0.000000,88.544507,1.000000,41-45,115028.801716,""
job_106,w0,profile_106,44090.000000,32,17978.000000,1,COMPLETED_SUCCESSFULLY,44090.000000,513.030713,44603.030713,0.000000,513.030713,1.000000,46-77,4265483.928915,""
job_110,w0,profile_110,44590.000000,31,25502.000000,1,COMPLETED_SUCCESSFULLY,44590.000000,383.033984,44973.033984,0.000000,383.033984,1.000000,15-45,3085133.547188,""
job_109,w0,profile_109,44090.000000,55,35580.000000,1,COMPLETED_SUCCESSFULLY,44090.000000,1096.643346,45186.643346,0.000000,1096.643346,1.000000,438-492,15671229.250191,""
job_115,w0,profile_115,45710.000000,1,1671.000000,1,COMPLETED_SUCCESSFULLY,45710.000000,12.580657,45722.580657,0.000000,12.580657,1.000000,1,3268.724195,""
job_116,w0,profile_116,45710.000000,1,6518.000000,1,COMPLETED_SUCCESSFULLY,45710.000000,19.629318,45729.629318,0.000000,19.629318,1.000000,0,5100.117515,""
job_111,w0,profile_111,44590.000000,59,24308.000000,1,COMPLETED_SUCCESSFULLY,44973.033984,867.994343,45841.028327,383.033984,1251.028327,1.441286,19-77,13305888.274148,""
job_114,w0,profile_114,45710.000000,17,1197.000000,1,COMPLETED_SUCCESSFULLY,45710.000000,171.696440,45881.696440,0.000000,171.696440,1.000000,2-18,758377.045083,""
job_112,w0,profile_112,44767.000000,52,8804.000000,1,COMPLETED_SUCCESSFULLY,45186.643346,928.003332,46114.646678,419.643346,1347.646678,1.452200,438-489,12537987.873254,""
job_117,w0,profile_117,45710.000000,19,1431.000000,1,COMPLETED_SUCCESSFULLY,45881.696440,378.021240,46259.717680,171.696440,549.717680,1.454198,0-18,1866142.353014,""
job_119,w0,profile_119,45940.000000,21,16862.000000,1,COMPLETED_SUCCESSFULLY,46114.646678,178.402127,46293.048805,174.646678,353.048805,1.978950,438-458,973406.602905,""
job_120,w0,profile_120,46151.000000,18,5310.000000,1,COMPLETED_SUCCESSFULLY,46151.000000,256.220034,46407.220034,0.000000,256.220034,1.000000,459-476,1198286.195522,""
job_113,w0,profile_113,45548.000000,44,12730.000000,1,COMPLETED_SUCCESSFULLY,45841.028327,814.395066,46655.423393,293.028327,1107.423393,1.359811,19-62,9310280.735277,""
job_83,w0,profile_83,39541.000000,360,55987.000000,1,COMPLETED_SUCCESSFULLY,40298.364281,6641.651410,46940.015691,757.364281,7399.015691,1.114033,78-437,621231608.685444,""
job_121,w0,profile_121,46540.000000,56,43107.000000,1,COMPLETED_SUCCESSFULLY,46540.000000,464.594504,47004.594504,0.000000,464.594504,1.000000,438-493,6759850.039105,""
job_122,w0,profile_122,47035.000000,6,3390.000000,1,COMPLETED_SUCCESSFULLY,47035.000000,102.651430,47137.651430,0.000000,102.651430,1.000000,21-26,160026.247886,""
job_123,w0,profile_123,47462.000000,19,3082.000000,1,COMPLETED_SUCCESSFULLY,47462.000000,202.383650,47664.383650,0.000000,202.383650,1.000000,8-26,999088.572254,""
job_126,w0,profile_126,48663.000000,6,1380.000000,1,COMPLETED_SUCCESSFULLY,48663.000000,70.072058,48733.072058,0.000000,70.072058,1.000000,6-11,109237.332696,""
job_127,w0,profile_127,48799.000000,7,5612.000000,1,COMPLETED_SUCCESSFULLY,48799.000000,41.237587,48840.237587,0.000000,41.237587,1.000000,5-11,75000.860854,""
job_124,w0,profile_124,48663.000000,15,3667.000000,1,COMPLETED_SUCCESSFULLY,48663.000000,182.133222,48845.133222,0.000000,182.133222,1.000000,12-26,709831.710651,""
job_129,w0,profile_129,49134.000000,12,3288.000000,1,COMPLETED_SUCCESSFULLY,49134.000000,216.100737,49350.100737,0.000000,216.100737,1.000000,15-26,673771.226475,""
job_132,w0,profile_132,49358.000000,4,3130.000000,1,COMPLETED_SUCCESSFULLY,49358.000000,57.221196,49415.221196,0.000000,57.221196,1.000000,12-15,59469.171502,""
job_135,w0,profile_135,49395.000000,4,2452.000000,1,COMPLETED_SUCCESSFULLY,49395.000000,31.765766,49426.765766,0.000000,31.765766,1.000000,8-11,33013.706876,""
job_131,w0,profile_131,49358.000000,11,3715.000000,1,COMPLETED_SUCCESSFULLY,49358.000000,106.519962,49464.519962,0.000000,106.519962,1.000000,16-26,304437.854574,""
job_136,w0,profile_136,49395.000000,14,6752.000000,1,COMPLETED_SUCCESSFULLY,49426.765766,132.395145,49559.160911,31.765766,164.160911,1.239932,2-15,481587.340520,""
job_133,w0,profile_133,49358.000000,20,5864.000000,1,COMPLETED_SUCCESSFULLY,49559.160911,131.641582,49690.802493,201.160911,332.802493,2.528096,7-26,684066.077906,""
job_134,w0,profile_134,49358.000000,17,5298.000000,1,COMPLETED_SUCCESSFULLY,49690.802493,137.614191,49828.416684,332.802493,470.416684,3.418373,10-26,607836.964997,""
job_137,w0,profile_137,49585.000000,10,5277.000000,1,COMPLETED_SUCCESSFULLY,49690.802493,183.542755,49874.345249,105.802493,289.345249,1.576446,0-9,476883.409220,""
job_140,w0,profile_140,49994.000000,3,3967.000000,1,COMPLETED_SUCCESSFULLY,49994.000000,34.128253,50028.128253,0.000000,34.128253,1.000000,0-2,26601.754372,""
job_138,w0,profile_138,49808.000000,17,636.000000,1,COMPLETED_SUCCESSFULLY,49828.416684,239.456834,50067.873518,20.416684,259.873518,1.085262,10-26,1057672.284080,""
job_139,w0,profile_139,49808.000000,20,4341.000000,1,COMPLETED_SUCCESSFULLY,50067.873518,136.919763,50204.793281,259.873518,396.793281,2.897999,7-26,711493.769363,""
job_141,w0,profile_141,50137.000000,15,2559.000000,1,COMPLETED_SUCCESSFULLY,50204.793281,176.105356,50380.898638,67.793281,243.898638,1.384959,12-26,686339.179161,""
job_147,w0,profile_147,50822.000000,6,5412.000000,1,COMPLETED_SUCCESSFULLY,50822.000000,47.204873,50869.204873,0.000000,47.204873,1.000000,21-26,73589.025335,""
job_149,w0,profile_149,51253.000000,9,2851.000000,1,COMPLETED_SUCCESSFULLY,51253.000000,45.082218,51298.082218,0.000000,45.082218,1.000000,18-26,105419.937327,""
job_150,w0,profile_150,51745.000000,3,4597.000000,1,COMPLETED_SUCCESSFULLY,51745.000000,41.117135,51786.117135,0.000000,41.117135,1.000000,24-26,32049.338256,""
job_155,w0,profile_155,52370.000000,4,6575.000000,1,COMPLETED_SUCCESSFULLY,52370.000000,29.149375,52399.149375,0.000000,29.149375,1.000000,6-9,30294.528713,""
job_152,w0,profile_152,52262.000000,17,1179.000000,1,COMPLETED_SUCCESSFULLY,52262.000000,234.281050,52496.281050,0.000000,234.281050,1.000000,10-26,1034811.029488,""
job_154,w0,profile_154,52370.000000,11,3317.000000,1,COMPLETED_SUCCESSFULLY,52496.281050,123.057457,52619.338507,126.281050,249.338507,2.026196,2-12,351702.606610,""
job_153,w0,profile_153,52262.000000,14,6649.000000,1,COMPLETED_SUCCESSFULLY,52496.281050,208.927094,52705.208144,234.281050,443.208144,2.121353,13-26,759972.306045,""
job_156,w0,profile_156,52370.000000,12,4017.000000,1,COMPLETED_SUCCESSFULLY,52619.338507,122.508649,52741.847156,249.338507,371.847156,3.035273,1-12,381964.465742,""
job_118,w0,profile_118,45885.000000,473,83372.000000,1,COMPLETED_SUCCESSFULLY,47004.594504,6074.198274,53078.792778,1119.594504,7193.792778,1.184320,27-499,746491850.891986,""
job_158,w0,profile_158,52736.000000,20,666.000000,1,COMPLETED_SUCCESSFULLY,52741.847156,343.731089,53085.578245,5.847156,349.578245,1.017011,7-26,1786174.050468,""
job_143,w0,profile_143,50137.000000,46,38607.000000,1,COMPLETED_SUCCESSFULLY,53078.792778,367.284449,53446.077227,2941.792778,3309.077227,9.009576,379-424,4389705.027082,""
job_144,w0,profile_144,50684.000000,31,14919.000000,1,COMPLETED_SUCCESSFULLY,53078.792778,393.416677,53472.209455,2394.792778,2788.209455,7.087166,425-455,3168760.572467,""
job_159,w0,profile_159,53458.000000,14,2310.000000,1,COMPLETED_SUCCESSFULLY,53458.000000,90.104874,53548.104874,0.000000,90.104874,1.000000,13-26,327756.480763,""
job_130,w0,profile_130,49134.000000,33,30681.000000,1,COMPLETED_SUCCESSFULLY,53078.792778,493.256562,53572.049340,3944.792778,4438.049340,8.997446,288-320,4229234.611454,""
